Name,Price,Abv,Rating,Year_Made,Distillery,Mash_Bill,Flavor_Profile,Aging Period
"William Larue Weller Kentucky Straight (Buffalo Trace Antique Collection 2020), 67.25%",99,67.2,95,2020,Buffalo Trace Distillery,Undisclosed (Wheated mash bill),"Vanilla, Caramel, Oak, Toffee, Spice",12.5
"Four Roses Limited Edition Single Barrel (2014 Release), 60%",100,60,95,2014,Four Roses Distillery,"60% corn, 35% rye, 5% malted barley","Rich caramel, baking spices, fruity, vanilla, oak",11
"Uncle Nearest 1820 Single Barrel 11 year old Tennessee Whiskey (Barrel US-1), 57.55%",119,57.5,95,2019,Uncle Nearest Distillery,undisclosed,"Caramel, Oak, Spice, Vanilla, Warm",11
"Uncle Nearest 1820 Single Barrel 11 year old Tennessee Whiskey (Barrel US-2), 55.1%",119,55.1,95,2019,Uncle Nearest Distillery,undisclosed,"caramel, oak, spice, vanilla, toasted nuts",11
"Four Roses Limited Edition Small Batch (2015 Release), 54.3%",120,54.3,95,2015,Four Roses Distillery,undisclosed,"ripe fruit, cinnamon, vanilla, caramel, oak",13
"Four Roses Limited Edition Small Batch Straight (2019 Release), 56.3%",140,56.3,95,2019,Four Roses Distillery,Undisclosed,"Rich fruit, Spice, Vanilla, Oak, Caramel",15
"Old Forester Birthday, 48%",150,48,95,2023,Old Forester Distillery,"72% corn, 18% rye, 10% malted barley","caramel, chocolate, oak, spice, vanilla",13
"King of Kentucky 14 year old Single Barrel Kentucky Straight 2020 Release (Barrel No. 3), 65.3%",250,65.3,95,2020,Brown-Forman Distillery,"79% corn, 11% rye, 10% malted barley","oak, spice, caramel, vanilla, dark fruit",14
"Wild Turkey Master s Keep Voyage, 53%",275,53,95,2023,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","caramel, oak, spice, vanilla, dried fruit",10
"Old Rip Van Winkle, 53.5%",350,53.5,95,NA,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, dried fruit",10
"Evan Williams Single Barrel 1996 Vintage, 43.3%",25,43.3,94,1996,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","caramel, oak, vanilla, spice, fruity",9
"Wheel Horse Straight (Batch 1), 50.5%",28,50.5,94,2020,Owensboro Distilling Co. (Green River Distilling Co.),"70% Corn, 21% Rye, 9% Malted Barley","Caramel, Vanilla, Oak, Spice",3
"W. L. Weller 19 year old, 1982, 45%",38,45,94,1982,Stitzel-Weller Distillery,undisclosed,"caramel, oak, vanilla, spice, toffee",19
"Knob Creek Single Barrel, 9 year old, 60%",40,60,94,NA,Jim Beam Distillery,"75% corn, 13% rye, 12% malted barley","Rich oak, Vanilla, Spice, Caramel",9
"Jack Daniel s A ejo Tequila Finished, 45%",84,45,94,NA,Jack Daniel's Distillery,"80% corn, 12% malted barley, 8% rye","oak, agave, caramel, spice, vanilla",4.5
"George T. Stagg 2nd Edition, 71.35%",45,71.3,94,2003,Buffalo Trace Distillery,undisclosed,"Rich oak, Dark chocolate, Spicy, Vanilla, Caramel",15
"Buffalo Trace Experimental Collection 12 year old wheated bourbon from floor #5, 45%",47,45,94,2017,Buffalo Trace Distillery,undisclosed (wheated),"vanilla, caramel, oak, wheat, spice",12
"Buffalo Trace Experimental Collection, 14 year old, Fine Grain Oak, 45%",47,45,94,NA,Buffalo Trace Distillery,undisclosed,"complex oak, vanilla, spice, caramel",14
"Buffalo Trace Experimental Collection French Oak Aged, 10 year old, 45%",50,45,94,2015,Buffalo Trace Distillery,undisclosed,"oak, spice, caramel, vanilla, fruit",10
"Buffalo Trace Experimental Collection Fire Pot Barrel Aged, 10 year, 45%",50,45,94,NA,Buffalo Trace Distillery,undisclosed,"smoky, oak, caramel, spice",10
"Larceny Barrel Proof Kentucky Straight (Batch C920), 61.2%",50,61.2,94,2020,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, cinnamon, spice",7
"Buffalo Trace Experimental Collection Chardonnay Aged Bourbon, 14 year old, 45%",50,45,94,2023,Buffalo Trace Distillery,undisclosed,"Fruity, Oak, Vanilla, Wine, Honey",14
"Stagg Jr. Barrel Proof Kentucky Straight Bourbon (13th Edition), 64.2%",50,64.2,94,2020,Buffalo Trace Distillery,undisclosed (Buffalo Trace Mash Bill #1),"caramel, oak, spice, vanilla, cherry",8
"Elijah Craig Barrel Proof Kentucky Straight Bourbon (Batch A120), 68.3%",60,68.3,94,2020,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, oak, vanilla, cinnamon, spice",12
"Elijah Craig Barrel Proof (Batch A119), 67.6%",60,67.6,94,2019,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, vanilla, oak, cinnamon, spicy",12
"Elijah Craig Barrel Proof Kentucky Straight Bourbon (Batch B520), 63.6%",60,63.6,94,2020,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, oak, vanilla, cinnamon, spice",12
"Elijah Craig Barrel Proof Kentucky Straight (Batch C920), 66.4%",60,66.4,94,2020,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, vanilla, oak, spice, toasted brown sugar",12
"Tumblin  Dice Single Barrel Straight Bourbon (No. 10B), 58.7%",60,58.7,94,NA,MGP (Midwest Grain Products),"60% corn, 36% rye, 4% malted barley","caramel, spice, oak, vanilla, pepper",6
"Elijah Craig Barrel Proof Kentucky Straight (Batch A121), 61.8%",60,61.8,94,2021,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, vanilla, oak, spicy, toasted nuts",12
"Old Forester 117 Series Bottled in Bond, 50%",60,50,94,2023,Old Forester Distillery,"72% corn, 18% rye, 10% malted barley","caramel, oak, vanilla, spice, fruit",4
"Elijah Craig Barrel Proof (Batch A117), 63.5%",60,63.5,94,2017,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, vanilla, oak, spice, cinnamon",12
"Three Chord 12 year old Twelve Bar Reserve Barrel-Proof Straight Bourbon (Batch 0007), 53.5%",70,53.5,94,2020,Undisclosed (sourced bourbon),Undisclosed,"Oak, Caramel, Vanilla, Spice, Rich",12
"Eagle Rare 17 year old (bottled Spring 2013), 45%",70,45,94,2013,Buffalo Trace Distillery,Undisclosed,"Oak, Caramel, Vanilla, Spice, Leather",17
"Eagle Rare 17 year old (bottled Spring 2012), 45%",70,45,94,2012,Buffalo Trace Distillery,Undisclosed,"Oak, Vanilla, Caramel, Spice, Leather",17
"George T. Stagg, 71.5%",70,71.5,94,2016,Buffalo Trace Distillery,Undisclosed,"Rich oak, dark chocolate, caramel, vanilla, spice",15
"Elijah Craig 11 year 2 month old Barrel Proof (Batch B524), 65.3%",75,65.3,94,2024,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, oak, vanilla, spice, cinnamon",11
"Parker's Heritage Collection, First Edition, 1996 vintage, 63.7%",80,63.7,94,1996,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, vanilla, oak, spice, rich",11
"Virgil Kaine Eighth Notch Barrel Proof Finished in Vanilla Smoked Toasted Barrels, 58.4%",80,58.4,94,2023,Virgil Kaine,undisclosed,"vanilla, smoke, oak, caramel, spice",5
"Booker s 2019-03  Country Ham  Kentucky Straight Bourbon, 62.35%",80,62.4,94,2019,Jim Beam Distillery,"77% corn, 13% rye, 10% malted barley","Vanilla, Oak, Caramel, Spice, Smoky",6.33
"William Larue Weller, 67.3%",80,67.3,94,2022,Buffalo Trace Distillery,undisclosed (wheated mash bill),"rich caramel, vanilla, oak, spice, dark fruit",12
"Charles Goodnight 6 year old Small Batch, 57.5%",80,57.5,94,NA,Undisclosed (Bottled by Goodnight Distillery),Undisclosed,"Caramel, Vanilla, Oak, Spice, Tobacco",6
"George T. Stagg, 69.1%",80,69.1,94,2022,Buffalo Trace Distillery,undisclosed,"caramel, oak, vanilla, spice, dark fruit",15
"Booker s Charlie s Batch (2023-01), 63.3%",90,63.3,94,2023,Jim Beam,"77% corn, 13% rye, 10% malted barley","caramel, oak, cinnamon, vanilla, spice",7.1
"Wild Turkey American Spirit 15 year old, 50%",90,50,94,2007,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","oak, caramel, spice, vanilla, leather",15
"Barrell Cask-Strength Blend of Straight (Batch 029), 57.94%",90,57.9,94,2022,Barrell Craft Spirits (sourced; blend from undisclosed distilleries),undisclosed,"caramel, spice, vanilla, oak, dried fruit",10
"Wild Turkey Tribute 15 year old, 50.5%",90,50.5,94,2004,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","caramel, oak, vanilla, spice, leather",15
"Barrell 6 year old Cask Strength Blend (Batch 035), 58.75%",90,58.8,94,2023,Barrell Craft Spirits (sourced from undisclosed distilleries),undisclosed,"caramel, spice, vanilla, oak, fruit",6
"Old Elk Port Cask Finished, 54.05%",90,54,94,NA,Old Elk Distillery,undisclosed,"rich fruit, oak, vanilla, spice, dried fruit",5
"Barrell Cask Strength Blend of Straight Bourbons (Batch 025), 56.7%,",90,56.7,94,2021,Barrell Craft Spirits (sourced from undisclosed distilleries),undisclosed,"caramel, spice, oak, vanilla, fruit",11
"Barrell Bourbon Cask Finish Series: 5 year old Amburana, 58.21%",90,58.2,94,2023,"Barrell Craft Spirits (sourced, exact distillery undisclosed)",undisclosed,"cinnamon, baking spices, dried fruit, caramel, oak",5
"George T. Stagg (2017 Buffalo Trace Antique Collection), 64.6%",90,64.6,94,2017,Buffalo Trace Distillery,undisclosed,"rich oak, dark chocolate, caramel, spice, vanilla",13.25
"William Larue Weller, 67.7%",90,67.7,94,2022,Buffalo Trace Distillery,Undisclosed (Wheated Bourbon),"Rich caramel, Vanilla, Oak spice, Dark fruit, Cinnamon",12
"Barrell Cask-Strength Blend of Straight Bourbons (Batch 021), 53.17%",90,53.2,94,2019,Barrell Craft Spirits (sourced; exact distilleries undisclosed),undisclosed,"caramel, vanilla, baking spice, oak, dark fruit",12.5
"George T. Stagg 15 year old Kentucky Straight Bourbon (2019 Buffalo Trace Antique Collection), 58.45%",99,58.5,94,2019,Buffalo Trace Distillery,undisclosed,"rich caramel, oak, vanilla, spice, dark fruit",15
"Knob Creek 15 year old Kentucky Straight Bourbon, 50%",100,50,94,2020,Jim Beam Distillery,"75% corn, 13% rye, 12% malted barley","oak, caramel, vanilla, spice, leather",15
"Lost Lantern Far-Flung Bourbon, 68.4%",110,68.4,94,2023,"Undisclosed (Blend from Indiana, Texas, Ohio, and Colorado distilleries)",Undisclosed,"Bold, Spicy, Caramel, Oak, Vanilla",5.25
"Bardstown Bourbon Co. Brandy Barrel Honey Ale Cask-Finished Bourbon, 56.05%",125,56,94,2023,Bardstown Bourbon Company,undisclosed,"honey, fruit, malt, caramel, oak",9
"Bardstown Bourbon Co. Copper & Kings Apple Brandy Barrel-Finished Bourbon, 60.20%",125,60.2,94,2023,Bardstown Bourbon Company,undisclosed,"apple, caramel, spice, oak, fruit",9
"Lucky Seven 12 year old The Proprietor Single Barrel Kentucky Straight, 59.15%",129,59.1,94,NA,Undisclosed (sourced from Kentucky),Undisclosed,"Caramel, Oak, Vanilla, Spice, Dark fruit",12
"Bardstown Bourbon Co. Discovery Series Kentucky Straight Bourbon (No. 2), 61.1%",130,61.1,94,2019,Bardstown Bourbon Company,undisclosed,"caramel, vanilla, oak, spice, rich",11
"Four Roses Limited Edition Small Batch (2017 Release), 53.95%",130,54,94,2017,Four Roses Distillery,Undisclosed,"Fruity, Spicy, Caramel, Oak, Vanilla",13
"Bardstown Bourbon Company Discovery Series #1 Kentucky Straight Bourbon, 60.61%",130,60.6,94,2019,Bardstown Bourbon Company,undisclosed,"caramel, spice, vanilla, oak, dried fruit",12
"Woodford Reserve Master s Collection Batch Proof (2019 Release), 61.6%",130,61.6,94,2019,Woodford Reserve Distillery,"72% corn, 18% rye, 10% malted barley","caramel, oak, spice, vanilla, rich",6.5
"Bardstown Discovery Series #4, 57.5%",130,57.5,94,2021,Bardstown Bourbon Company,undisclosed,"caramel, oak, vanilla, spice, dried fruit",12.67
"Woodford Reserve Master s Collection Batch Proof Kentucky Straight Bourbon (2020 Release), 61.8%",130,61.8,94,2020,Woodford Reserve Distillery,"72% corn, 18% rye, 10% malted barley","caramel, oak, spice, vanilla, toasted nuts",6.5
"Lucky Seven 14 year old The Proprietor Single Barrel (No. 72), 67.07%",140,67.1,94,2023,"Undisclosed (sourced, possibly Barton Distillery)",Undisclosed,"Oak, Vanilla, Caramel, Spice, Dark Fruit",14
"Elijah Craig 21 year old Single Barrel (No. 42), 45%",140,45,94,2014,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","oak, caramel, vanilla, cinnamon, spice",21
"Four Gate 10 year old Tennessee Foundation Straight, 56.1%",149,56.1,94,2023,Undisclosed (sourced from Tennessee),Undisclosed,"caramel, oak, vanilla, spice, dried fruit",10
"Maker s Mark Cellar Aged (2023 Release), 57.85%",150,57.9,94,2023,Maker's Mark Distillery,"70% corn, 16% wheat, 14% malted barley","oak, vanilla, caramel, spice, dark fruit",11.5
"Wild Turkey Master s Keep Decades, 52%",150,52,94,2017,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","oak, caramel, vanilla, spice, dried fruit",15
"Old Fitzgerald 15 year old Bottled in Bond Kentucky Straight Bourbon (Fall 2019 Release), 50%",150,50,94,2019,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, oak, vanilla, spice, honey",15
"Old Forester 150th Anniversary Batch Proof Kentucky Straight (Batch 03/03), 63.4%",150,63.4,94,2020,Old Forester Distillery,"72% corn, 18% rye, 10% malted barley","caramel, oak, spice, vanilla, dark fruit",7
"Four Roses Limited Edition Small Batch (2020 Release), 55.7%",150,55.7,94,2020,Four Roses Distillery,Undisclosed,"Fruit, Spice, Vanilla, Oak, Caramel",15.25
"Lux Row Distillers 12 year old Double Barrel Kentucky Straight Bourbon, 59.2%",150,59.2,94,2023,Lux Row Distillers,undisclosed,"oak, caramel, vanilla, spice, toasted nuts",12
"Peerless High Rye (Batch 170921108), 55.3%",160,55.3,94,2023,Kentucky Peerless Distilling Co.,undisclosed,"spicy, peppery, caramel, oak, rye-forward",5.75
"Wild Turkey 17 year old Master s Keep Bottled in Bond Kentucky Straight Bourbon, 50%",175,50,94,2022,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","caramel, oak, spice, vanilla, dried fruit",17
"Widow Jane 15 year old The Vaults Blend of Straight Bourbons (2020 Release, Batch 1), 49.5%",199,49.5,94,2020,Widow Jane Distillery (sourced blend),undisclosed,"oak, caramel, dark fruit, spice, vanilla",15
"Angel s Envy Cask Strength Port Barrel-Finished (2020 Release), 60.2%",200,60.2,94,2020,Louisville Distilling Co.,"72% corn, 18% rye, 10% malted barley","dark fruit, caramel, chocolate, spice, oak",6
"Four Gate The Kelvin Collaboration II Cognac and Rum Cask-Finished Bourbon, 63.2%",200,63.2,94,2020,"Four Gate Whiskey Company (sourced whiskey, exact distillery undisclosed)",undisclosed,"caramel, dried fruit, spice, oak, molasses",8.4
"King of Kentucky 14 year old, 62.5%",200,62.5,94,2023,Brown-Forman Distillery,"79% corn, 11% rye, 10% malted barley","Oak, Vanilla, Caramel, Spice, Tobacco",14
"Four Roses Limited Edition Small Batch 135th Anniversary (2023), 54%",200,54,94,2023,Four Roses Distillery,undisclosed,"vanilla, caramel, berries, spice, oak",16.75
"Blue Note Special Reserve Cask Finished Series Blend of Straights, 56.25%",225,56.2,94,NA,"B.R. Distilling Co. (sourced, blended)",undisclosed,"caramel, oak, vanilla, spice, dried fruit",9.59
"Barrell Craft Spirits (2022 Release), 50.29%",250,50.3,94,2022,Barrell Craft Spirits (sourced; undisclosed distillery),undisclosed,"rich oak, vanilla, caramel, baking spice, dried fruit",11.2
"Russell s Reserve 2002, 57.3%",250,57.3,94,2002,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","caramel, vanilla, oak, spice, dried fruit",15
"Russell s Reserve 1998, 51.1%",250,51.1,94,1998,Wild Turkey Distillery,"75% corn, 13% rye, 12% malted barley","oak, caramel, spice, vanilla, leather",15
"Kentucky Owl Kentucky Straight (Batch 9), 63.8%",300,63.8,94,2019,"Kentucky Owl (sourced, distillery undisclosed)",undisclosed,"caramel, oak, cinnamon, vanilla, spice",10.5
"Distillers' Masterpiece, 20 year old, 49%",300,49,94,NA,Jim Beam Distillery,undisclosed,"oak, caramel, vanilla, spice, rich",20
"Michter s 20 year old Straight Bourbon 2018 , 57.1%",700,57.1,94,2018,Michter's Distillery,undisclosed,"oak, caramel, vanilla, spice, leather",20
"Evan Williams Single Barrel 2003 Vintage (Barrel No. 1), 43.3%",26,43.3,93,2003,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","caramel, vanilla, oak, spice, honey",10
"Evan Williams Single Barrel (Barrel No. 1) 2004, 43.3%",27,43.3,93,2004,Heaven Hill Distillery,"78% corn, 12% malted barley, 10% rye","caramel, oak, vanilla, spice, honey",9
"Evan Williams Single Barrel 2005 Vintage (Barrel #292), 43.3%",29,43.3,93,2005,Heaven Hill Distillery,"78% corn, 10% rye, 12% malted barley","caramel, oak, vanilla, spice, fruit",8
"George Dickel 8 Year Old, 45%",33,45,93,NA,Cascade Hollow Distilling Co.,"84% corn, 8% rye, 8% malted barley","caramel, vanilla, oak, spice, fruit",8
"George Dickel Bottled in Bond 13 year old (Distilled in Fall 2005) Tennessee Whiskey, 50%",36,50,93,2005,Cascade Hollow Distilling Co. (George Dickel),"84% corn, 8% rye, 8% malted barley","caramel, roasted peanuts, oak, spice, vanilla",13
"Eagle Rare 17 year old 1984, 45%",38,45,93,2001,Buffalo Trace Distillery,undisclosed,"oak, caramel, vanilla, spice, dried fruit",17
"Old Forester Birthday Bourbon, Spring 1990, 46.5%",40,46.5,93,1990,Old Forester Distillery (Brown-Forman),"72% corn, 18% rye, 10% malted barley","caramel, vanilla, oak, spice, fruit",10
"Hancock s Single Barrel Reserve, 44.45%",40,44.5,93,NA,Buffalo Trace Distillery,undisclosed,"vanilla, honey, spice, caramel, oak",8
"Old Ezra 7 year old Barrel Strength, 58.5%",40,58.5,93,2018,Lux Row Distillers,"78% corn, 12% malted barley, 10% rye","Caramel, Vanilla, Oak, Cinnamon, Brown Sugar",7
"Four Roses Single Barrel (Barrel #29-50), 50%",42,50,93,NA,Four Roses Distillery,"60% corn, 35% rye, 5% malted barley","caramel, spice, oak, vanilla, fruit",7
"George T. Stagg 15 year old, 68.7%",45,68.7,93,2022,Buffalo Trace Distillery,Undisclosed (Buffalo Trace Mashbill #1 - low rye; exact percentages undisclosed),"Oak, caramel, vanilla, spice, dark fruit",15
"Angel s Envy, 43.3%",46,43.3,93,NA,Louisville Distilling Co.,"72% corn, 18% rye, 10% malted barley","vanilla, caramel, dried fruit, oak, spice",5
"Bib & Tucker 6 year old Small Batch (No. 22), 46%",46,46,93,NA,Tennessee Distilling Group (sourced),"70% corn, 26% rye, 4% malted barley","caramel, oak, vanilla, cinnamon, spice",6
"Bib & Tucker 6 year old Small Batch (No. 24), 46%",46,46,93,NA,Tennessee Distilling Group (sourced),"70% corn, 26% rye, 4% malted barley","caramel, vanilla, oak, spice, leather",6
"George T. Stagg, 65.45%",47,65.4,93,2020,Buffalo Trace Distillery,undisclosed,"caramel, dark chocolate, oak, vanilla, spice",16
"Eagle Rare 17 year old, 45%",48,45,93,2018,Buffalo Trace Distillery,Undisclosed,"Oak, Caramel, Vanilla, Leather, Spice",17
"Pappy Van Winkle 15 year old Family Reserve, 53.5%",50,53.5,93,2023,Buffalo Trace Distillery,Undisclosed,"Rich caramel, oak, vanilla, spice, dried fruit",15
"Maker s Mark Cask Strength, 56.6%",50,56.6,93,2023,Maker's Mark Distillery,"70% Corn, 16% Wheat, 14% Malted Barley","Rich caramel, Vanilla, Oak spice, Cinnamon",6
"Weller Full Proof Kentucky Straight Bourbon, 57%",50,57,93,2019,Buffalo Trace Distillery,undisclosed (wheated mash bill),"caramel, vanilla, oak, spice, dark fruit",7
"Larceny Barrel Proof Kentucky Straight Bourbon (Batch A120), 61.6%",50,61.6,93,2020,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, spice, brown sugar",7
"Larceny Barrel Proof Kentucky Straight Bourbon (Batch B520), 61.1%",50,61.1,93,2020,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, vanilla, oak, baking spice, rich",7
"Larceny Barrel Proof Kentucky Straight (Batch A121), 57.4%",50,57.4,93,2021,Heaven Hill Distillery,"68% corn, 20% wheat, 12% malted barley","caramel, oak, baking spice, vanilla, toasted nuts",7
"William Larue Weller, 64.95%",55,65,93,2021,Buffalo Trace Distillery,Undisclosed (wheated bourbon),"Rich caramel, vanilla, oak spice, dark fruit, cinnamon",13
"George T. Stagg, 72.4%",55,72.4,93,2005,Buffalo Trace Distillery,undisclosed,"caramel, oak, dark chocolate, spice, vanilla",16
"Hirsch Selected Whiskeys The Bivouac (Batch 0822), 50%",55,50,93,2022,Undisclosed (sourced by Hirsch Selected Whiskeys),"95% corn, 5% malted barley","Caramel, Vanilla, Oak, Spice, Citrus",7
"Filibuster Single Barrel Straight Bourbon, 58.5%",56,58.5,93,NA,Filibuster Distillery,undisclosed,"caramel, vanilla, oak, spice, dried fruit",5
